"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.460006024E0,9.114952087E-1,-3.622529030E0,9.217571616E-1
3.470023324E0,4.207506180E-1,-2.511781454E0,8.911498189E-1
3.480039490E0,4.423904419E-2,-2.583141804E0,1.096374750E0
3.490055623E0,-7.658576965E-2,-2.742028713E0,1.069070101E0
3.500072823E0,-4.706916809E-1,-2.797476530E0,1.180855751E0
3.510090023E0,-4.297533035E-1,-2.517791510E0,1.562235832E0
3.520106956E0,-2.174787521E-1,-1.956878543E0,1.422922134E0
3.530123956E0,4.651927948E-2,-1.396529198E0,9.728869200E-1
3.540141222E0,9.810829163E-2,-8.791939914E-2,1.247328281E0
3.550158655E0,6.016998291E-1,7.079766989E-1,4.459353685E-1
3.560175155E0,7.088308334E-1,7.046095729E-1,-4.433866739E-1
3.570191755E0,8.812513351E-1,6.780111790E-1,-8.666027784E-1
3.580209455E0,7.911148071E-1,7.364794612E-1,-1.509944558E0
3.590227355E0,2.169618607E-1,5.579141378E-1,-1.481819749E0
3.600245188E0,-1.523799896E-1,2.036152780E-1,-1.149638891E0
3.610262954E0,-3.213863373E-1,-6.241643429E-2,-9.803701043E-1
3.620280987E0,-1.490459442E-1,1.961100101E-2,-9.476783276E-1
3.630298853E0,-8.876428604E-1,2.930889428E-1,-4.070200920E-1
3.640315653E0,-7.682046890E-1,5.786328316E-1,-9.337632656E-1
3.650332419E0,-4.600334167E-2,9.040039778E-1,-1.789867401E0
3.660350319E0,-1.005443573E0,8.666875362E-1,-1.705186009E0
3.670368119E0,-1.943864822E-1,1.563915968E0,-9.475141764E-1
3.680385585E0,1.430206299E-1,1.774923325E0,-8.072118759E-1
3.690403218E0,6.723117828E-2,1.600487709E0,-9.046610594E-1
3.700421284E0,-1.006040573E-1,1.313965797E0,-9.818185568E-1
3.710439550E0,4.833221436E-3,3.721823096E-1,-4.609049559E-1
3.720456916E0,-5.548934937E-1,-1.269717813E0,-6.405062675E-1
3.730474482E0,-2.927589417E-1,-2.480087757E0,4.079341888E-4
3.740493082E0,-1.132488251E-1,-2.141434669E0,1.691002011E0
3.750511782E0,6.336116791E-1,-8.515645862E-1,1.316638350E0
3.760530082E0,1.312451363E0,4.285600483E-1,4.869418144E-1
3.770548315E0,1.316457748E0,1.058952570E0,-2.233253717E-1
3.780566948E0,9.003448486E-1,1.360948205E0,-7.636977434E-1
3.790585748E0,6.460857391E-2,1.635350227E0,-1.497692943E0
3.800603614E0,-1.170084953E0,1.512078047E0,-1.803539395E0
3.810621580E0,-9.609270096E-1,5.987491012E-1,-1.777052402E0
3.820640613E0,-4.883422852E-1,-1.841716766E-1,-1.829921842E0
3.830659613E0,1.307401657E-1,-1.966401339E-1,-1.557872295E0
3.840678479E0,1.224908829E0,2.876472473E-1,-1.410161972E0
3.850697545E0,1.477199554E0,1.572297573E0,-2.159211636E0
3.860717078E0,1.792970657E0,2.633855820E0,-2.586974859E0
3.870736811E0,1.933322906E0,3.081193209E0,-2.871617556E0
3.880755577E0,2.772063255E0,3.362601280E0,-2.723709106E0
3.890774710E0,2.743420601E0,3.758116245E0,-1.214967847E0
3.900795110E0,2.760079384E0,3.863994122E0,-1.147374392E0
3.910815743E0,3.855111122E0,3.121613503E0,-2.082044840E0
