"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.939566060E2,6.498259978E1,2.552045443E1,1.952133402E1,7.799999714E-1,2.128999939E2,2.500000000E0,3.000000000E0
1.949433011E2,6.498258737E1,2.552044655E1,1.952132359E1,9.599999785E-1,2.085000000E2,2.500000000E0,3.000000000E0
1.959427295E2,6.498257413E1,2.552043473E1,1.952131290E1,1.000000000E0,2.046000061E2,2.500000000E0,3.000000000E0
1.969485096E2,6.498256164E1,2.552042786E1,1.952130226E1,1.169999957E0,1.986999969E2,2.500000000E0,3.000000000E0
1.979487352E2,6.498255033E1,2.552041378E1,1.952129365E1,1.079999924E0,1.998000031E2,2.500000000E0,3.000000000E0
1.989491496E2,6.498253746E1,2.552040422E1,1.952128301E1,1.199999928E0,2.018999939E2,2.500000000E0,3.000000000E0
1.999399260E2,6.498252216E1,2.552039165E1,1.852127052E1,1.139999986E0,2.003000031E2,2.500000000E0,3.000000000E0
2.009383198E2,6.498250879E1,2.552038394E1,1.852125918E1,1.129999995E0,2.006000061E2,2.500000000E0,3.000000000E0
2.019368848E2,6.498249777E1,2.552037816E1,1.952124975E1,9.399999976E-1,2.018999939E2,2.500000000E0,3.000000000E0
2.029456024E2,6.498248792E1,2.552036709E1,1.952124210E1,1.129999995E0,1.993000031E2,2.500000000E0,3.000000000E0
2.039198846E2,6.498247828E1,2.552035167E1,1.952123522E1,9.399999976E-1,2.061999969E2,2.500000000E0,3.000000000E0
2.049423691E2,6.498246931E1,2.552033423E1,1.852122922E1,1.019999981E0,2.101000061E2,2.500000000E0,3.000000000E0
2.059583325E2,6.498245980E1,2.552032518E1,1.852122162E1,1.009999990E0,2.128999939E2,2.500000000E0,3.000000000E0
2.069503890E2,6.498245079E1,2.552031152E1,1.852121508E1,1.000000000E0,2.131000061E2,2.500000000E0,3.000000000E0
2.079502562E2,6.498243771E1,2.552030004E1,1.852120451E1,1.169999957E0,2.098999939E2,2.500000000E0,3.000000000E0
2.089367842E2,6.498242669E1,2.552028470E1,1.852119634E1,1.259999990E0,2.126999969E2,2.500000000E0,3.000000000E0
2.099348192E2,6.498241676E1,2.552027204E1,1.852118882E1,1.149999976E0,2.110000000E2,2.500000000E0,3.000000000E0
2.109380890E2,6.498240544E1,2.552025989E1,1.852117996E1,9.599999785E-1,2.091999969E2,2.500000000E0,3.000000000E0
